horse_id;horsename;horsenumber;weight;draw;sex;saddle;dam;damby;colour;equipment;equipmentshoes;equipmentheadgear;equipmenttongue;gelded;owner;race_num;raceprogramcode;racedate;race_date_time;month;horse_ref;lengthsbehind;meritrating;race_name;race_description;race_surface;race_class;race_distance;result_pos1;result_pos2;result_pos3;result_pos4;finish_position;jockey_name;venue;last_month_runs;ltwo_month_runs;last_month_wins;last_two_month_wins;perc_win_one_month;perc_win_ltwo_month;last_month_seconds;last_two_month_second;perc_sec_lone_month;perc_sec_ltwo_month;last_month_third;last_two_month_third;perc_third_lone_month;perc_third_ltwo_month;last_month_FOURTH;last_two_month_FOURTH;perc_fourth_lone_month;perc_forth_ltwo_month;Last_month_Tfour_positions;Last_two_month_Tfour_positions;perc_topfor_lone_month;perc_topfor_ltwo_month;trainercurrent;T_ltwo_month_runs;T_perc_win_ltwo_month;T_perc_sec_ltwo_month;T_perc_third_ltwo_month;T_perc_forth_ltwo_month;T_perc_topfor_ltwo_month;breeder;B_venue;B_ltwo_month_runs;B_perc_win_ltwo_month;B_perc_sec_ltwo_month;B_perc_third_ltwo_month;B_perc_forth_ltwo_month;B_perc_topfor_ltwo_month;hj_ltwo_month_runs;hj_ltwo_month_top4;hj_ltwo_month_top3;hj_ltwo_month_top2;hj_ltwo_month_wins;h_ltwo_month_runs;h_ltwo_month_top4;h_ltwo_month_top3;h_ltwo_month_top2;h_ltwo_month_wins;target_win;0;1
370652;Ticking Bomb;6;55.5;7;F;6;Tick Tock;Captain Al;b;A;A;NA;NA;NULL;Drakenstein Stud (Nom: Mrs G A Rupert);1;XFD;2024/07/02 12:35;2024/07/02 12:35;7;227315;0;65;WELCOME TO NELSON MANDELA BAY OPEN MAIDEN;For Maiden. R15 000 Win bonus ROA Member;Poly;OPEN MAIDEN;1200;6;3;4;2;1;C Zackey;Fairview Polytrack;15;39;1;4;6.66666666666667;10.2564102564103;2;19;13.3333333333333;15.3846153846154;3;8;20;20.5128205128205;4;8;26.6666666666667;20.5128205128205;10;26;66.6666666666667;66.6666666666667;G S Kotzen;0;0;0;0;0;0;Drakenstein Stud (Nom: Mrs G A Rupert);Fairview Polytrack;14;7.14285714285714;21.4285714285714;0;28.5714285714286;57.1428571428571;0;0;0;0;0;2;0;0;0;0;1;0.854;0.146
370653;Ellorix;3;59;8;F;3;Elle Va;Var (USA);b;A;A;NA;NA;NULL;ASSM Racing Syndicate (Nom: Mr A Chadha);1;XFD;2024/07/02 12:35;2024/07/02 12:35;7;226895;2.75;72;WELCOME TO NELSON MANDELA BAY OPEN MAIDEN;For Maiden. R15 000 Win bonus ROA Member;Poly;OPEN MAIDEN;1200;6;3;4;2;2;M van Rensburg;Fairview Polytrack;8;21;1;2;12.5;9.52380952380952;0;9;0;4.76190476190476;1;4;12.5;19.047619047619;0;2;0;9.52380952380952;2;9;25;42.8571428571429;C Bass-Robinson;0;0;0;0;0;0;Wilgerbosdrift &amp;;;;;;;;;;;;;;;;;;;;
370654;War Sword;4;58;4;G;4;Dream Dancer;Querari (GER);b;AC;A;C;NA;NULL;Messrs Morgan Govender &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370655;Lady Luck;2;59.5;3;F;2;Cover Page;Querari (GER);b;A;A;NA;NA;NULL;Mrs S Plattner;1;XFD;2024/07/02 12:35;2024/07/02 12:35;7;227716;5.00;73;WELCOME TO NELSON MANDELA BAY OPEN MAIDEN;For Maiden. R15 000 Win bonus ROA Member;Poly;OPEN MAIDEN;1200;6;3;4;2;4;L Mxothwa;Fairview Polytrack;22;33;4;5;18.1818181818182;15.1515151515152;2;24;9.09090909090909;12.1212121212121;3;4;13.6363636363636;12.1212121212121;4;6;18.1818181818182;18.1818181818182;13;19;59.0909090909091;57.5757575757576;J P Nel;18;0;16.6666666666667;33.3333333333333;5.55555555555556;55.5555555555556;Narrow Creek Stud;Fairview Polytrack;8;12.5;25;0;0;37.5;0;0;0;0;0;0;0;0;0;0;0;0.904;0.096
370656;Consigliere;1;60;1;G;1;Secretariat&#39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370657;Smart View;7;53;2;G;7;Smart Suzy;Silvano (GER);b;At;A;NA;t;NULL;Mrs G Thomson;1;XFD;2024/07/02 12:35;2024/07/02 12:35;7;228203;9.25;39;WELCOME TO NELSON MANDELA BAY OPEN MAIDEN;For Maiden. R15 000 Win bonus ROA Member;Poly;OPEN MAIDEN;1200;6;3;4;2;10;M H Alabdulmalik;Fairview Polytrack;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;G D Smith;100;10;10;12;17;49;Riyo Stud;Fairview Polytrack;3;0;0;33.3333333333333;0;33.3333333333333;0;0;0;0;0;0;0;0;0;0;0;0.884;0.116
370658;Quiet Whisper;8;52.5;5;F;8;Murmering Sky;Jallad (USA);b;AB;A;B;NA;NULL;Messrs T Muthusamy, N J W Deetlefs, Robin Strydom, G M Kotzen &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370659;Statesman;5;57;6;G;5;In Camera;Caesour (USA);b;At;A;NA;t;NULL;Messrs J F &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370660;Seaside Trip;5;60;6;F;5;Firstnightbliss;Jallad (USA);ch;A;A;NA;NA;NULL;Mr W J Engelbrecht (Jnr);2;XFD;2024/07/02 12:35;2024/07/02 12:35;7;227031;0;60;PLAY SOCCER 6, 10 AND 13 MAIDEN PLATE (F &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370661;La Pequenita;2;60;4;F;2;Tahini;Silvano (GER);b;At;A;NA;t;NULL;Pine Lodge Stud &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
